Mississippi County,2010,73.85,67.98
Monroe County,2010,76.45,69.35
Montgomery County,2010,78.43,72.9
Nevada County,2010,76.98,70.31
Newton County,2010,79.47,74.48
Ouachita County,2010,76.21,70.46
Perry County,2010,78.49,72.5
Phillips County,2010,74.44,67.36
Pike County,2010,78.63,72.7
Poinsett County,2010,74.96,68.26
Polk County,2010,78.63,72.7
Pope County,2010,79.02,74.07
Prairie County,2010,77.63,71.03
Pulaski County,2010,78.72,73.33
Randolph County,2010,78.53,72.85
St. Francis County,2010,75.99,70.84
Saline County,2010,80.36,75.16
Scott County,2010,78.43,72.9
Searcy County,2010,79.47,74.48
Sebastian County,2010,78.78,73.07
Sevier County,2010,77.32,72.12
Sharp County,2010,78.91,73.25
Stone County,2010,79.58,74.1
Union County,2010,76.01,69.84
Van Buren County,2010,79.58,74.1
Washington County,2010,80.32,75.38
White County,2010,78.63,73.43
Woodruff County,2010,77.63,71.03
Yell County,2010,79,72.5
Alameda County,2010,83.1,79.19
Alpine County,2010,81.28,78.1
Amador County,2010,80.03,77.21
Butte County,2010,79.11,75.16
Calaveras County,2010,81.59,77.33
Colusa County,2010,80.31,78.05
Contra Costa County,2010,82.88,78.98
Del Norte County,2010,77.66,74.08
El Dorado County,2010,82.68,78.83
Fresno County,2010,80.87,76.19
Glenn County,2010,79.91,75.1
Humboldt County,2010,79.22,74.52
Imperial County,2010,82.9,77.24
Inyo County,2010,81.24,76.04
Kern County,2010,79.53,75.29
Kings County,2010,79.54,77.59
Lake County,2010,78,73.32
Lassen County,2010,78.84,75.32
Los Angeles County,2010,83.04,78.37
Madera County,2010,81.18,76.09
Marin County,2010,85.02,81.44
Mariposa County,2010,80.58,77.38
Mendocino County,2010,79.48,75.43
Merced County,2010,80.41,76.74
Modoc County,2010,78.84,75.32
Mono County,2010,81.28,78.1
Monterey County,2010,83.29,79.17
Napa County,2010,82.52,78.14
Nevada County,2010,83.24,79.33
Orange County,2010,83.82,80.05
Placer County,2010,83.21,78.9
Plumas County,2010,80.01,76.71
Riverside County,2010,82.03,77.75
Sacramento County,2010,81.01,76.66
San Benito County,2010,82.23,78.54
San Bernardino County,2010,80.42,76.1
San Diego County,2010,82.89,78.95
San Francisco County,2010,84.38,78.84
San Joaquin County,2010,80.47,75.76
San Luis Obispo County,2010,82.4,78.86
San Mateo County,2010,84.3,80.34
Santa Barbara County,2010,83.65,78.73
Santa Clara County,2010,84.54,80.98
Santa Cruz County,2010,83.04,78.8
Shasta County,2010,79.03,73.99
Sierra County,2010,80.01,76.71
Siskiyou County,2010,79.23,73.99
Solano County,2010,80.85,77.03
Sonoma County,2010,81.97,78.52
Stanislaus County,2010,80.48,75.95
Sutter County,2010,79.77,76.69
Tehama County,2010,79.48,74.83
Trinity County,2010,79.23,73.99
Tulare County,2010,80.34,75.58
Tuolumne County,2010,81.28,78.1
Ventura County,2010,82.87,79.4
Yolo County,2010,82.06,77.96
Yuba County,2010,78.52,74.16
ADAMS,2010,82.01,78.24
Alamosa County,2010,80.4,74.52
Arapahoe County,2010,82.12,78.43
Archuleta County,2010,81.35,77.02
Baca County,2010,78.99,73.43
Bent County,2010,78.99,73.43
BOULDER,2010,82.01,78.24
Adams County,2010,82.01,78.24
Chaffee County,2010,82.15,77.69
Cheyenne County,2010,79.48,74.68
Clear Creek County,2010,83.29,79.6
Conejos County,2010,81.35,77.02
Costilla County,2010,80.4,74.52
Crowley County,2010,79.28,74.54
Custer County,2010,79.87,75.88
Delta County,2010,81.08,75.82
Denver County,2010,80.48,75.12
Dolores County,2010,80.34,76.79
Douglas County,2010,84.17,81.41
Eagle County,2010,83.39,81.01
Elbert County,2010,81.85,77.72
El Paso County,2010,81.49,77.64
Fremont County,2010,79.87,75.88
Garfield County,2010,82.93,77.61
Gilpin County,2010,81.55,76.95
Grand County,2010,83.29,79.6
Gunnison County,2010,84.33,81.65
Hinsdale County,2010,80.41,77.03
Huerfano County,2010,80.4,74.52
Jackson County,2010,83.27,79.15
JEFFERSON,2010,82.01,78.24
Kiowa County,2010,79.48,74.68
Kit Carson County,2010,80.82,76.19
Lake County,2010,81.73,77.42
La Plata County,2010,83.04,78.96
Larimer County,2010,82.7,79.35
Las Animas County,2010,78.81,75.54
Lincoln County,2010,79.48,74.68
Logan County,2010,81.2,76.73
Mesa County,2010,81,76.09
Mineral County,2010,80.41,77.03
Moffat County,2010,80.57,76.29
Montezuma County,2010,80.34,76.79
Montrose County,2010,80.99,75.99
Morgan County,2010,79.94,76.48
Otero County,2010,79.48,74.68
Ouray County,2010,80.41,77.03
Park County,2010,81.73,77.42
Phillips County,2010,81.2,76.73
Pitkin County,2010,84.33,81.65
Prowers County,2010,78.99,73.43
Pueblo County,2010,79.28,74.54
Rio Blanco County,2010,80.57,76.29
Rio Grande County,2010,80.41,77.03
Routt County,2010,83.27,79.15
Saguache County,2010,79.87,75.88
San Juan County,2010,80.34,76.79
San Miguel County,2010,80.34,76.79
Sedgwick County,2010,81.2,76.73
Summit County,2010,83.43,80.09
Teller County,2010,82.5,77.7
Washington County,2010,79.94,76.48
WELD,2010,82.01,78.24
Yuma County,2010,80.82,76.19
Fairfield County,2010,83.75,79.47
Hartford County,2010,82.32,77.56
Litchfield County,2010,82.38,78.21
Middlesex County,2010,82.66,78.34
New Haven County,2010,81.97,77.43
New London County,2010,81.61,78.13
Tolland County,2010,81.57,79.48
Windham County,2010,80.92,76.58
Kent County,2010,79.63,73.8
New Castle County,2010,80.47,75.92
Sussex County,2010,80.61,75.68
District of Columbia,2010,79.14,73.68
Alachua County,2010,80.69,75.46
Baker County,2010,77.26,68.8
Bay County,2010,78.75,73.47
Bradford County,2010,76.95,72.69
Brevard County,2010,81.03,75.4
Broward County,2010,81.93,77.05
Calhoun County,2010,77.39,74.23
Charlotte County,2010,82.59,75.91
Citrus County,2010,80.02,72.9
Clay County,2010,80.18,75.28
Collier County,2010,84.62,80.08
Columbia County,2010,77.7,72.56
DeSoto County,2010,79.33,76.82
Dixie County,2010,77.61,73.35
Duval County,2010,78.68,73.79
Escambia County,2010,78.38,73.16
Flagler County,2010,81.35,76.59
Franklin County,2010,77.9,74.27
Gadsden County,2010,77.49,71.48
Gilchrist County,2010,77.61,73.35
Glades County,2010,79.33,76.82
Gulf County,2010,77.39,74.23
Hamilton County,2010,76.78,73.81
Hardee County,2010,78.29,74.97
Hendry County,2010,78.03,73.43
Hernando County,2010,80.03,73.66
Highlands County,2010,80.27,75.46
Hillsborough County,2010,80.51,75.55
Holmes County,2010,76.43,71.05
Indian River County,2010,82.83,76.46
Jackson County,2010,77.99,73.63
Jefferson County,2010,77.93,73.67
Lafayette County,2010,78.57,72.74
Lake County,2010,81.34,75.78
Lee County,2010,83.15,77.96
Leon County,2010,80.84,76.58
Levy County,2010,78.19,72.41
Liberty County,2010,77.9,74.27
Madison County,2010,76.78,73.81
Manatee County,2010,82.25,76.68
Marion County,2010,80.29,74.26
Martin County,2010,83.23,78.2
Miami-Dade County,2010,83.45,77.49
Monroe County,2010,82.29,74.69
Nassau County,2010,79.56,75.18
Okaloosa County,2010,80.01,75.32
Okeechobee County,2010,77.3,73.58
Orange County,2010,81.51,76.71
Osceola County,2010,81.39,76.91
Palm Beach County,2010,83.49,78.14
Pasco County,2010,80.26,74.33
Pinellas County,2010,80.54,74.71
Polk County,2010,80.79,75.38
Putnam County,2010,77.82,70.97
St. Johns County,2010,82.62,78.18
St. Lucie County,2010,81.62,76.43
Santa Rosa County,2010,80.29,75.17
Sarasota County,2010,83.42,77.49
Seminole County,2010,81.88,77.13
Sumter County,2010,82.52,78.33
Suwannee County,2010,78.57,72.74
Taylor County,2010,77.93,73.67
Union County,2010,77.26,68.8
Volusia County,2010,80.47,73.72
Wakulla County,2010,78.97,75.02
Walton County,2010,79.46,73.96
Washington County,2010,77.24,71.74
Appling County,2010,76.07,70.4
Atkinson County,2010,75.62,70.58
Bacon County,2010,77.19,69.83
Baker County,2010,76.3,72.92
Baldwin County,2010,78.76,73.04
Banks County,2010,79.49,73.32
Barrow County,2010,79.1,73.17
Bartow County,2010,78.07,73.01
Ben Hill County,2010,77.1,72.07
Berrien County,2010,76.18,73.06
Bibb County,2010,76.86,69.62
Bleckley County,2010,76.01,71.53
Brantley County,2010,78.43,71.11
Brooks County,2010,78.04,72.94
Bryan County,2010,78.76,72.96
Bulloch County,2010,78.42,73.68
Burke County,2010,77.02,70.62
Butts County,2010,76.01,70.77
Calhoun County,2010,76.92,71.86
Camden County,2010,79.14,75.45
Candler County,2010,76.26,71.32
Carroll County,2010,77.43,73.01
Catoosa County,2010,80.63,74.89
Charlton County,2010,78.43,71.11
Chatham County,2010,79.37,74.1
Chattahoochee County,2010,77.84,72.81
Chattooga County,2010,76.35,70.93
Cherokee County,2010,81.03,77.17
Clarke County,2010,80.49,75.25
Clay County,2010,76.96,69.97
Clayton County,2010,78.23,74.35
Clinch County,2010,77.7,72.12
Cobb County,2010,81.51,77.68
Coffee County,2010,77.56,72.34
Colquitt County,2010,77.9,72.77
Columbia County,2010,80.46,76.37
Cook County,2010,75.31,70.85
Coweta County,2010,80.58,75.75
Crawford County,2010,78.92,72.92
Crisp County,2010,77.48,71.52
Dade County,2010,77.49,72.16
Dawson County,2010,79.7,76.06
Decatur County,2010,76.41,71
DeKalb County,2010,80.94,76.05
Dodge County,2010,76.81,71.75
Dooly County,2010,77.53,72.62
Dougherty County,2010,78.51,72.54
Douglas County,2010,78.37,75
Early County,2010,76.96,69.97
Echols County,2010,77.7,72.12
Effingham County,2010,78.4,74.66
Elbert County,2010,78.56,73.29
Emanuel County,2010,75.89,70.27
Evans County,2010,76.26,71.32
Fannin County,2010,78.83,75.43
Fayette County,2010,81.58,79.03
Floyd County,2010,76.7,73.42
Forsyth County,2010,82.59,79.16
Franklin County,2010,78.06,71.53
Fulton County,2010,79.59,74.79
Gilmer County,2010,79.89,74.46
Glascock County,2010,76.53,71.6
Glynn County,2010,79.13,72.71
Gordon County,2010,77.37,72.71
Grady County,2010,78.51,73.3
Greene County,2010,79.26,74.8
Gwinnett County,2010,82.11,78.23
Habersham County,2010,80.17,75.33
Hall County,2010,81.06,76.4
Hancock County,2010,76.53,71.6
Haralson County,2010,74.89,70.8
Harris County,2010,80.96,75.21
Hart County,2010,78.75,73.66
Heard County,2010,77.34,72.66
Henry County,2010,79.08,74.88
Houston County,2010,79.62,74.54
Irwin County,2010,78.07,70.83
Jackson County,2010,79.15,73.88
Jasper County,2010,79.52,72.88
Jeff Davis County,2010,77.19,69.83
Jefferson County,2010,75.89,69.68
Jenkins County,2010,76.53,70.62
Johnson County,2010,77.09,72.88
Jones County,2010,79.49,74.74
Lamar County,2010,77.57,72.64
Lanier County,2010,75.62,70.58
Laurens County,2010,76.81,72.26
Lee County,2010,78.4,75.84
Liberty County,2010,78.97,73.79
Lincoln County,2010,77.64,71.17
Long County,2010,79.25,74.11
Lowndes County,2010,77.7,72.12
Lumpkin County,2010,79.24,75.3
McDuffie County,2010,76.09,70.28
McIntosh County,2010,79.25,74.11
Macon County,2010,77.53,72.62
Madison County,2010,78.57,72.36
Marion County,2010,77.84,72.81
Meriwether County,2010,78.2,70
Miller County,2010,76.3,72.92
Mitchell County,2010,77.07,71.09
Monroe County,2010,78.64,74.03
Montgomery County,2010,78.2,71.59
Morgan County,2010,79.26,74.8
Murray County,2010,77,72.24
Muscogee County,2010,76.51,71.61
Newton County,2010,78.52,73.68
Oconee County,2010,82.44,77.31
Oglethorpe County,2010,78.56,73.29
Paulding County,2010,80.61,75.26
Peach County,2010,78.16,69.17
Pickens County,2010,78.92,74.94
Pierce County,2010,77.99,70.37
Pike County,2010,77.57,72.64
Polk County,2010,76.44,71.18
Pulaski County,2010,77.47,72.24
Putnam County,2010,79.52,72.88
Quitman County,2010,76.96,69.97
Rabun County,2010,80.18,74.95
Randolph County,2010,76.92,71.86
Richmond County,2010,76.75,70.32
Rockdale County,2010,79.86,75.58
Schley County,2010,77.65,72.46
Screven County,2010,76.53,70.62
Seminole County,2010,76.3,72.92
Spalding County,2010,76.7,71.17
Stephens County,2010,77.73,72.71
Stewart County,2010,76.96,69.97
Sumter County,2010,77.65,72.46
Talbot County,2010,78.2,70
Taliaferro County,2010,77.64,71.17
Tattnall County,2010,76.08,71.59
Taylor County,2010,78.92,72.92
Telfair County,2010,77.1,72.07
Terrell County,2010,76.92,71.86
Thomas County,2010,77.93,71.83
Tift County,2010,77.9,72.06
Toombs County,2010,77.37,72.22
Towns County,2010,80.18,74.95
Treutlen County,2010,78.2,71.59
Troup County,2010,77.34,72.66
Turner County,2010,78.07,70.83
Twiggs County,2010,76.01,71.53
Union County,2010,80.52,75.72
Upson County,2010,76.09,71.39
Walker County,2010,77.46,72.06
Walton County,2010,78.58,72.93
Ware County,2010,76.84,71.19
Warren County,2010,76.53,71.6
Washington County,2010,76.65,71.29
Wayne County,2010,77.45,71.9
Webster County,2010,76.96,69.97
Wheeler County,2010,78.2,71.59
White County,2010,80.53,75
Whitfield County,2010,79.35,74.06
Wilcox County,2010,77.47,72.24
Wilkes County,2010,77.64,71.17
Wilkinson County,2010,77.09,72.88
Worth County,2010,78.74,72.91
Hawaii County,2010,83.09,76.66
Honolulu County,2010,83.71,78.11
Kalawao County,2010,83.09,76.66
Kauai County,2010,82.41,77.04
MAUI,2010,83.62,77.8
Ada County,2010,82.43,78.87
Adams County,2010,81.16,77.63
Bannock County,2010,79.59,75.64
Bear Lake County,2010,80.91,76.67
Benewah County,2010,78.88,74.76
Bingham County,2010,80.94,75.59
Blaine County,2010,82.98,79.91
Boise County,2010,80.46,76.34
Bonner County,2010,80.74,76.72
Bonneville County,2010,80.7,76.47
Boundary County,2010,80.74,76.72
Butte County,2010,80.54,77.18
Camas County,2010,79.56,75.16
Canyon County,2010,80.64,76.43
Caribou County,2010,80.91,76.67
Cassia County,2010,80.51,75.62
Clark County,2010,80.54,77.18
Clearwater County,2010,80.81,75.97
Custer County,2010,80.46,76.34
Elmore County,2010,80.24,75.87
Franklin County,2010,80.91,76.67
Fremont County,2010,80.54,77.18
Gem County,2010,80.46,76.34
Gooding County,2010,79.56,75.16
Idaho County,2010,80.81,75.97
Jefferson County,2010,81.45,76.54
Jerome County,2010,80.19,74.08
Kootenai County,2010,80.86,77.36
Latah County,2010,81.68,78.99
Lemhi County,2010,80.54,77.18
Lewis County,2010,80.81,75.97
Lincoln County,2010,79.56,75.16
Madison County,2010,81.13,77.9
Minidoka County,2010,79.33,74.99
Nez Perce County,2010,79.88,75.5
Oneida County,2010,80.51,75.62
Owyhee County,2010,80.24,75.87
Payette County,2010,79.87,74.98
Power County,2010,80.51,75.62
Shoshone County,2010,78.88,74.76
Teton County,2010,81.13,77.9
Twin Falls County,2010,79.78,74.96
Valley County,2010,81.16,77.63
Washington County,2010,81.16,77.63
Adams County,2010,81.3,75.44
Alexander County,2010,77.26,71.35
Bond County,2010,80.13,75.58
Boone County,2010,80.88,77.4
Brown County,2010,79.15,75.66
Bureau County,2010,81.35,76.1
Calhoun County,2010,79.18,74.91
Carroll County,2010,80.67,75.54
Cass County,2010,79.89,75.18
Champaign County,2010,81.84,77.73
Christian County,2010,79.78,75.27
Clark County,2010,78.81,74.69
Clay County,2010,80.12,73.37
Clinton County,2010,82.2,76.43
Coles County,2010,80.08,73.77
Cook County,2010,80.98,75.81
Crawford County,2010,79.47,74.43
Cumberland County,2010,80.76,76.06
DeKalb County,2010,80.73,77.07
De Witt County,2010,79.7,75.14
Douglas County,2010,80.88,75.72
DuPage County,2010,83.36,79.63
Edgar County,2010,79.1,74.54
Edwards County,2010,80.62,74.4
Effingham County,2010,80.85,76.07
Fayette County,2010,80.53,75.53
Ford County,2010,79.18,74.65
Franklin County,2010,78.15,72.15
Fulton County,2010,79.3,75.32
Gallatin County,2010,78.71,72.85
Greene County,2010,79.18,74.91
Grundy County,2010,80.32,75.78
Hamilton County,2010,78.71,72.85
Hancock County,2010,82.18,76.68
Hardin County,2010,78.71,72.85
Henderson County,2010,82.11,76.35
Henry County,2010,81,76.01
Iroquois County,2010,79.18,74.65
