countyData = [

77.85,72.89,106351
76.26,70.71,62253
76.39,70.17,91817
75.05,68.2,58959
77.32,72.14,99241
78.5,72.34,240326
79.51,75.13,115652
76.26,70.71,141153
78.82,72.83,65691
78.75,76.34,73864
77.86,70.02,91035
77.79,71.51,117607
75.44,68.57,2052542
79.51,75.13,330739
75.05,68.2,54592
76.77,71.54,125949
77.07,72.23,223042
77.32,72.14,642018
77.98,73.35,972220
74.92,70.69,93513
74.92,70.69,60694
77.47,72,61572
76.26,70.71,202842
74.92,70.69,138256
77.98,73.35,786872
77.98,73.35,179376
77.74,72.33,74182
80.99,77.25,199822
76.14,70.52,68959
77.89,72.36,192128
80.06,75.8,90060
77.54,68.5,50198
77.79,71.51,210156
77.72,70.78,61057
77.86,70.02,112516
77.47,72,204351
74.92,70.69,1198027
77.98,73.35,487917
77.86,70.02,60270
77.79,71.51,148954
77.79,71.51,130671
75.8,70.8,103407
75.33,70.33,92070
78.75,76.34,149587
80.06,75.8,248926
80.06,75.8,83428
76.39,67.19,97432
74.92,70.69,68698
76.6,71.69,225342
77.47,72,93797
77.54,70.73,123603
75.82,70.44,121980
79.51,75.13,85172
77.47,72,194733
75.05,68.2,49762
79.12,73.29,92078
76.59,71.5,85432
77.98,73.35,198570
77.73,71.05,270720
76.41,70.35,838617
77.85,72.89,65203
75.44,68.57,87444
78.08,69.38,59668
75.82,70.44,294857
78.5,72.34,151632
76.26,70.71,120631
76.26,70.71,617745
78.08,69.38,360076
76.45,71.58,111269
78.62,73.14,118631
78.4,72.9,69412
77.81,71.72,360390
78.5,72.34,76753
80.53,75.39,109005
81.81,75.68,127420
77.47,72,545615
76.6,71.69,191229
75.82,70.44,105219
79.51,75.13,98939
77.86,70.02,257990
79.51,75.13,66687
77.72,70.78,713255
77.86,70.02,156402
77.79,71.51,555378
77.45,70.39,81013
80.99,77.25,805162
74.92,70.69,80465
80.29,74.97,186583
78.82,72.83,84028
79.5,74.59,86617
76.41,70.35,306352
77.35,72.29,108347
78.53,71.87,199819
79.12,73.29,136048
79.51,75.13,246246
77.72,70.78,135779
77.79,71.51,135977
77.72,70.78,145333
77.79,71.51,250844
76.41,70.35,55998
77.98,73.35,499048
77.98,73.35,90972
77.32,72.14,60863
77.47,72,590815
77.47,72,57715
78.75,76.34,646199
77.47,72,720878
79.51,75.13,87381
75.8,70.8,124848
76.41,70.35,311656
78.08,69.38,179373
77.72,70.78,156120
77.79,71.51,200345
77.79,71.51,121620
77.47,72,80187
];
